"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength","percentGC","phred14","phred27","phred40","phred51","phredGT30","phredGT35","Adapter24","Adapter32","Adapter39","bamFile","numReads","numMapped","numUnmapped","overallMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR5442950","SRR5442950","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","50","37.0","37.0","37.0","37.0",0.980042119966176,0.89472738626797,0.00071719718616423,0.00166944218964279,0.00552663714044201,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442950_accepted_hits.sorted.bam",33184737,32001981,1182756,0.9644,32284471,936337,0.0281852566620294,0.854500288791319,28420090,1517959,2121155,1200106,0,0,0,0,0,0,0,1.26670957058897e-06
"SRR5442949","SRR5442949","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.980191577819198,0.891352125865055,0.000487750124936121,0.00104912291023996,0.00386825728015376,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442949_accepted_hits.sorted.bam",32598659,31389108,1209551,0.9629,32016807,900151,0.0273461174632237,0.827413594064807,27263081,1531598,2702451,1452632,0,0,0,0,0,0,0,2.27413768825321e-06
"SRR5442952","SRR5442952","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","50","37.0","37.0","37.0","37.0",0.97692942704116,0.894404199872244,0.00048453756759532,0.000978393165336704,0.00290722540557192,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442952_accepted_hits.sorted.bam",32195646,31096900,1098746,0.9659,31705630,865253,0.0265652300553227,0.834922219762178,27215558,1440457,2618228,1322276,0,0,0,0,0,0,0,1.54323493936814e-06
"SRR5442951","SRR5442951","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","50","37.0","37.0","37.0","37.0",0.975664678270509,0.882209247204984,0.000680540642714446,0.00131113334834893,0.00359000797762208,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442951_accepted_hits.sorted.bam",32033355,30832434,1200921,0.9625,31363937,947422,0.0293216388700952,0.828093526927271,26780254,1435034,2610957,1513404,0,0,0,0,0,0,0,1.79236537487658e-06
"SRR5442953","SRR5442953","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.9801683650234,0.901632326294972,0.000920847245520575,0.0024238714730116,0.00992779689927501,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442953_accepted_hits.sorted.bam",35727967,34648994,1078973,0.9698,34923517,1302915,0.0359658660284292,0.831381243197928,30142141,1706484,2726940,1679933,0,0,0,0,0,0,0,1.82468790123435e-06
"SRR5442955","SRR5442955","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.968387740206268,0.640491762651493,0.000320213568865615,0.00128570599620285,0.00754442575130351,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442955_accepted_hits.sorted.bam",20611244,20065434,545810,0.9735,20192102,834267,0.0396771786892925,0.83085229978577,17483104,1036894,1679088,843287,0,0,0,0,0,0,0,1.31555586467941e-06
"SRR5442954","SRR5442954","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","50","37.0","37.0","37.0","37.0",0.979951653907497,0.901280859050792,0.000516727359616068,0.00123947020247776,0.00466743275156475,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442954_accepted_hits.sorted.bam",29609425,28654101,955324,0.9677,28495478,1347154,0.0451419298405047,0.844219697300236,25211761,1412504,2068027,1171689,0,0,0,0,0,0,0,1.11059279040445e-06
"SRR5442956","SRR5442956","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.979908015724535,0.898634156518275,0.000465872825542443,0.00121250344661047,0.00505364031946041,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442956_accepted_hits.sorted.bam",32412279,31331147,1081132,0.9666,31583423,1426007,0.0431999886093156,0.819661685736871,27080209,1523162,2981912,1452993,0,0,0,0,0,0,0,1.292456790123e-06
"SRR5442957","SRR5442957","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.980273142927346,0.900815621092037,0.000563267751547476,0.00147701321516894,0.00592056992182125,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442957_accepted_hits.sorted.bam",31956383,30885089,1071294,0.9665,31329729,920559,0.0285442102098437,0.834937156104618,26950696,1584067,2359948,1384001,0,0,0,0,0,0,0,1.78103007061487e-06
"SRR5442960","SRR5442960","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","50","37.0","37.0","37.0","37.0",0.983959330884307,0.924995484001295,0.000474847618431448,0.00104070769706226,0.00383043745534701,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442960_accepted_hits.sorted.bam",25271265,24436858,834407,0.967,24936899,754427,0.0293650471758445,0.829964368262042,21347189,1226575,2236063,910782,0,0,0,0,0,0,0,1.54587098095211e-06
"SRR5442959","SRR5442959","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.984340366114127,0.926521387295191,0.00113742856125244,0.00244719478330071,0.00875858289422336,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442959_accepted_hits.sorted.bam",26111530,25420474,691056,0.9735,25570364,990138,0.0372785875809124,0.838340702547514,22279071,1304962,1977653,1013513,0,0,0,0,0,0,0,6.73277624547271e-07
"SRR5442958","SRR5442958","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.980208894812965,0.901245051865474,0.000615849152323276,0.00135059987365946,0.00463106367514384,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442958_accepted_hits.sorted.bam",32800240,31747092,1053148,0.9679,32179916,987213,0.029764801168048,0.839364236030794,27861237,1575243,2476861,1279921,0,0,0,0,0,0,0,1.6151472384374e-06
