"","gencodeID","ensemblID","gene_type","Symbol","EntrezID","Class","meanExprs","NumTx","Module"
"ENSG00000227232.5","ENSG00000227232.5","ENSG00000227232","unprocessed_pseudogene","WASH7P",NA,"InGen",2.05142446836327,1,1
"ENSG00000278267.1","ENSG00000278267.1","ENSG00000278267","miRNA","MIR6859-1",102466751,"InGen",3.16072478788904,1,0
"ENSG00000268903.1","ENSG00000268903.1","ENSG00000268903","processed_pseudogene","",NA,"InGen",0.109130913630374,1,3
"ENSG00000269981.1","ENSG00000269981.1","ENSG00000269981","processed_pseudogene","",NA,"InGen",0.189790784767548,1,0
"ENSG00000279457.3","ENSG00000279457.3","ENSG00000279457","protein_coding","",102723897,"InGen",2.19825183868075,3,1
"ENSG00000228463.9","ENSG00000228463.9","ENSG00000228463","lincRNA","",NA,"InGen",0.0743385995613275,5,1
"ENSG00000236679.2","ENSG00000236679.2","ENSG00000236679","processed_pseudogene","RPL23AP24",NA,"InGen",0.451052448068747,1,1
"ENSG00000237094.11","ENSG00000237094.11","ENSG00000237094","lincRNA","",NA,"InGen",0.0770197304218149,17,0
"ENSG00000225972.1","ENSG00000225972.1","ENSG00000225972","unprocessed_pseudogene","MTND1P23",NA,"InGen",0.065734422146859,1,0
"ENSG00000225630.1","ENSG00000225630.1","ENSG00000225630","unprocessed_pseudogene","MTND2P28",NA,"InGen",1.79835739306579,1,5
"ENSG00000237973.1","ENSG00000237973.1","ENSG00000237973","unprocessed_pseudogene","MTCO1P12",NA,"InGen",1.67006251347645,1,5
"ENSG00000278791.1","ENSG00000278791.1","ENSG00000278791","miRNA","MIR6723",102465432,"InGen",0.17869941018312,1,0
"ENSG00000229344.1","ENSG00000229344.1","ENSG00000229344","unprocessed_pseudogene","MTCO2P12",NA,"InGen",0.41999166794147,1,0
"ENSG00000248527.1","ENSG00000248527.1","ENSG00000248527","unprocessed_pseudogene","MTATP6P1",NA,"InGen",10.9523207484986,1,5
"ENSG00000198744.5","ENSG00000198744.5","ENSG00000198744","unprocessed_pseudogene","MTCO3P12",NA,"InGen",0.742763136461441,1,0
"ENSG00000228327.3","ENSG00000228327.3","ENSG00000228327","transcribed_unprocessed_pseudogene","",NA,"InGen",0.237619990304941,2,2
"ENSG00000223181.1","ENSG00000223181.1","ENSG00000223181","snRNA","RNU6-1199P",NA,"InGen",0.140584749551758,1,0
"ENSG00000237491.8","ENSG00000237491.8","ENSG00000237491","lincRNA","",NA,"InGen",0.140743568371992,20,1
"ENSG00000230092.7","ENSG00000230092.7","ENSG00000230092","transcribed_unprocessed_pseudogene","",NA,"InGen",0.658727469965109,2,1
"ENSG00000228794.8","ENSG00000228794.8","ENSG00000228794","processed_transcript","LINC01128",643837,"InGen",0.561950564246189,15,1
"ENSG00000225880.5","ENSG00000225880.5","ENSG00000225880","lincRNA","LINC00115",79854,"InGen",0.652363686062091,1,10
"ENSG00000272438.1","ENSG00000272438.1","ENSG00000272438","lincRNA","",NA,"InGen",0.606078199980615,1,1
"ENSG00000230699.2","ENSG00000230699.2","ENSG00000230699","lincRNA","",NA,"InGen",0.241622917318137,1,1
"ENSG00000241180.1","ENSG00000241180.1","ENSG00000241180","lincRNA","",NA,"InGen",0.0403178909462085,1,1
"ENSG00000223764.2","ENSG00000223764.2","ENSG00000223764","lincRNA","",100130417,"InGen",0.141573702464109,3,1
"ENSG00000187634.11","ENSG00000187634.11","ENSG00000187634","protein_coding","SAMD11",148398,"InGen",0.403691504998674,17,1
"ENSG00000188976.10","ENSG00000188976.10","ENSG00000188976","protein_coding","NOC2L",26155,"InGen",11.5119683620202,6,3
"ENSG00000187961.13","ENSG00000187961.13","ENSG00000187961","protein_coding","KLHL17",339451,"InGen",2.32516364631791,5,1
"ENSG00000272512.1","ENSG00000272512.1","ENSG00000272512","lincRNA","",NA,"InGen",0.75211179548756,1,2
"ENSG00000188290.10","ENSG00000188290.10","ENSG00000188290","protein_coding","HES4",57801,"InGen",6.26386389876908,4,6
"ENSG00000187608.8","ENSG00000187608.8","ENSG00000187608","protein_coding","ISG15",9636,"InGen",5.9515198275056,3,2
"ENSG00000188157.13","ENSG00000188157.13","ENSG00000188157","protein_coding","AGRN",375790,"InGen",10.2821124778659,10,2
"ENSG00000217801.9","ENSG00000217801.9","ENSG00000217801","transcribed_unprocessed_pseudogene","",NA,"InGen",0.345882370674452,6,1
"ENSG00000273443.1","ENSG00000273443.1","ENSG00000273443","lincRNA","",NA,"InGen",0.0204015259812935,1,1
"ENSG00000131591.17","ENSG00000131591.17","ENSG00000131591","protein_coding","C1orf159",54991,"InGen",1.04366003040697,19,6
"ENSG00000207730.3","ENSG00000207730.3","ENSG00000207730","miRNA","MIR200B",406984,"InGen",0.0569464535940982,1,4
"ENSG00000207607.3","ENSG00000207607.3","ENSG00000207607","miRNA","MIR200A",406983,"InGen",0.0784046810384254,1,4
"ENSG00000198976.1","ENSG00000198976.1","ENSG00000198976","miRNA","MIR429",554210,"InGen",0.11956390364526,1,4
"ENSG00000272141.1","ENSG00000272141.1","ENSG00000272141","lincRNA","",NA,"InGen",0.0774259828593187,1,4
"ENSG00000162571.13","ENSG00000162571.13","ENSG00000162571","protein_coding","TTLL10",254173,"InGen",0.0947042963374294,7,6
"ENSG00000186891.13","ENSG00000186891.13","ENSG00000186891","protein_coding","TNFRSF18",8784,"InGen",0.0623216751579759,4,1
"ENSG00000078808.16","ENSG00000078808.16","ENSG00000078808","protein_coding","SDF4",51150,"InGen",6.2163764105591,7,1
"ENSG00000176022.4","ENSG00000176022.4","ENSG00000176022","protein_coding","B3GALT6",126792,"InGen",6.33360074178549,1,1
"ENSG00000184163.3","ENSG00000184163.3","ENSG00000184163","protein_coding","FAM132A",388581,"InGen",0.356171849151022,5,2
"ENSG00000260179.1","ENSG00000260179.1","ENSG00000260179","lincRNA","",NA,"InGen",0.11758637434625,1,0
"ENSG00000160087.20","ENSG00000160087.20","ENSG00000160087","protein_coding","UBE2J2",118424,"InGen",3.84156315378528,20,0
"ENSG00000230415.1","ENSG00000230415.1","ENSG00000230415","lincRNA","",NA,"InGen",0.940322195236231,2,1
